citekey,label,url
Alvares2013,Open access article,https://doi.org/10.1371/journal.pone.0070468
Asquith2022,Open access article,https://doi.org/10.1186/s40359-022-00954-x
Audunsdottir2022,Open access article,https://doi.org/10.1016/j.nbas.2021.100028
Audunsdottir2024,Open access article,https://doi.org/10.1016/j.psyneuen.2024.107067
Audunsdottir2024,Preregistration,https://osf.io/xf9kr/
Bartos2022,Data & code,https://osf.io/6hf7r/
Bartos2022,Open access article,https://doi.org/10.1177/25152459221109259
Benjamin2020,Code,https://osf.io/fxhra/
Benjamin2020,Open access article,https://doi.org/10.31219/osf.io/upj3f
Bochynska2025,Open access article,https://doi.org/10.7557/11.8343
Boen2020,Open access article,https://doi.org/10.31234/osf.io/57ae2
Boen2022,Open access article,https://doi.org/10.1111/psyp.14003
Cacciotti-Saija2018,Code,https://osf.io/8c5sj/
Chalmers2014,Open access article,https://doi.org/10.3389/fpsyt.2014.00080
Chalmers2016,Open access article,https://doi.org/10.1186/s40359-016-0138-z
Demetriou2018,Open access article,https://doi.org/10.1038/mp.2017.75
Etchells2022,Open access article,https://doi.org/10.1098/rsos.220111
Flater2026,Open access article,https://doi.org/10.1016/j.ijpsycho.2025.113288
Haram2016,Open access article,https://doi.org/10.1192/bjpo.bp.116.003376
Heathers2018,Open access article,https://doi.org/10.31219/osf.io/83exy
Iversen2025a,Open access article,https://doi.org/10.1016/j.psyneuen.2025.107713
Jongerius2023,Code,https://osf.io/2b4z8/
Jongerius2023,Open access article,https://doi.org/10.1530/EC-22-0377
Kang2025,Preprint,https://osf.io/preprints/osf/cbjxd_v1
Kang2025,Preregistration,https://osf.io/7eg5u/
Kang2025,Web app,https://dsquintana.shinyapps.io/ot_meta_exec/
Kang2025c,Data & code,https://osf.io/s5gx4/
Kang2025c,Open access article,https://doi.org/10.1016/j.biopsycho.2025.109112
Kemp2012,Open access article,https://doi.org/10.1371/journal.pone.0044014
Kemp2012a,Open access article,https://doi.org/10.1371/journal.pone.0030777
Kemp2014,Open access article,https://doi.org/10.3389/fpsyg.2014.01387
Koenig2018,Open access article,https://doi.org/10.31219/osf.io/btjpw
Maier2024,Data & code,https://osf.io/mwkp6/
Maier2024,Open access article,https://doi.org/10.3758/s13423-024-02590-5
Melby2022,Open access article,https://doi.org/10.1016/j.yhbeh.2022.105268
Montag2022a,Open access article,https://doi.org/10.1038/s41380-022-01795-1
Mora-Jensen2024a,Open access article,https://doi.org/10.1038/s41598-024-80194-8
Murray2019,Data & code,https://osf.io/q7v2d/
Murray2019,Preregistration,https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=49831
Mygind2019,Preregistration,https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=57988
Nebe2023,Open access article,https://doi.org/10.7554/eLife.85980
Nordahl-Hansen2024,Data & code,https://osf.io/e7yt5/
Nordahl-Hansen2024,Open access article,https://doi.org/10.1016/j.jpsychires.2023.11.009
Parry2021,Data & code,https://osf.io/dhx48/
Parry2021,Preregistration,https://osf.io/xrg5c/
Quintana2013a,Open access article,https://doi.org/10.3389/fnins.2013.00048
Quintana2014,Open access article,https://doi.org/10.3389/fpsyg.2014.00805
Quintana2015,Open access article,https://doi.org/10.1038/tp.2015.93
Quintana2015b,Data & code,https://github.com/dsquintana/corr_meta
Quintana2015b,Open access article,https://doi.org/10.3389/fpsyg.2015.01549
Quintana2016,Data & code,https://github.com/dsquintana/ajp
Quintana2016a,Open access article,https://doi.org/10.3389/frym.2016.00007
Quintana2016b,Open access article,https://doi.org/10.1186/s13643-016-0386-2
Quintana2016f,Open access article,https://doi.org/10.1038/tp.2016.73
Quintana2016h,Open access article,https://doi.org/10.1038/srep37212
Quintana2016i,Data & code,https://osf.io/h8fps/
Quintana2017a,Open access article,https://doi.org/10.1371/journal.pone.0170921
Quintana2017b,Data & code,https://osf.io/emz4r/
Quintana2017b,Open access article,https://doi.org/10.1186/s12888-018-1761-4
Quintana2017d,Open access article,https://doi.org/10.1038/tp.2017.103
Quintana2018a,Open access article,https://doi.org/10.4155/tde-2018-0002
Quintana2018b,Data & code,https://osf.io/2h6j9/
Quintana2018b,Preprint,https://osf.io/preprints/osf/mtde7_v1
Quintana2019b,Code,https://osf.io/jp6zs/
Quintana2019b,Open access article,https://doi.org/10.1038/s41467-019-08503-8
Quintana2020a,Data & code,https://osf.io/86jvm/
Quintana2020a,Open access article,https://doi.org/10.1016/j.cpnec.2020.100014
Quintana2020b,Open access article,https://doi.org/10.31234/osf.io/ry5x9
Quintana2020d,Data & code,https://github.com/dsquintana/synthpop-primer
Quintana2020d,Open access article,https://doi.org/10.7554/eLife.53275
Quintana2020e,Open access article,https://doi.org/10.1016/j.tics.2020.03.008
Quintana2021,Open access article,https://doi.org/10.1038/s41380-020-00864-7
Quintana2022,Open access article,https://doi.org/10.1016/j.psyneuen.2021.105642
Quintana2023,Data & code,https://osf.io/dr64q/
Quintana2023,Open access article,https://doi.org/10.1177/25152459221147260
Quintana2023,Web app,https://dsquintana.shinyapps.io/metameta_app/
Quintana2024a,Open access article,https://doi.org/10.1016/j.neubiorev.2024.105765
Rodevand2021,Open access article,https://doi.org/10.1038/s41398-020-01142-4
Rokicki2021a,Open access article,https://doi.org/10.1002/hbm.25323
Rokicki2022,Preprint,https://osf.io/preprints/osf/hz96u_v1
Rokicki2022a,Code,https://gitlab.com/jarek.rokicki/spatio-temporal-oxytocin
Rokicki2022a,Preprint,https://osf.io/preprints/osf/j3b5d_v1
Sartorius2023,Open access article,https://doi.org/10.1038/s44271-023-00007-y
Sartorius2024,Data & code,https://osf.io/rxphw/
Sartorius2024,Open access article,https://doi.org/10.1038/s42003-024-06094-9
Schubert2025,Open access article,https://doi.org/10.1038/s44271-025-00356-w
Skafle2022a,Open access article,https://doi.org/10.2196/37367
Sonderby2020,Open access article,https://doi.org/10.1038/s41380-018-0118-1
Torske2022,Open access article,https://doi.org/10.1007/s10803-022-05629-5
Uttley2023,Open access article,https://doi.org/10.1016/j.jclinepi.2023.01.011
Valstad2016,Open access article,https://doi.org/10.1186/s13643-016-0225-5
Valstad2017,Data & code,https://osf.io/aj55y/
Vrabel2019,Open access article,https://doi.org/10.3389/fpsyg.2019.01638
Wells2012,Open access article,https://doi.org/10.1371/journal.pone.0046597
Winterton2020a,Open access article,https://doi.org/10.1186/s13643-020-01369-8
Winterton2021a,Preprint,https://osf.io/preprints/osf/gz5jb_v1
Winterton2021b,Code,https://osf.io/gpdxm/
Winterton2021b,Open access article,https://doi.org/10.1038/s41398-021-01725-9
Winterton2022,Open access article,https://doi.org/10.1016/j.psyneuen.2022.105875
deilhaugUsingEEGMeasure2026,Data & code,https://osf.io/ynsd7/
deilhaugUsingEEGMeasure2026,Preprint,https://www.medrxiv.org/content/10.1101/2025.08.25.25334355v2
glaserTutorialCalculatingFieldspecific2026,Data & code,https://osf.io/j8gd3/
glaserTutorialCalculatingFieldspecific2026,Open access article,https://doi.org/10.3758/s13428-026-03003-2
iversenValueLivingSystematic2026,Preprint,https://osf.io/preprints/psyarxiv/udexg_v1
sartoriusGeneticPathwaysLinking2026,Preprint,https://www.medrxiv.org/content/10.1101/2025.03.14.25323974v1
walleReframingOxytocinBehavioral2026,Open access article,https://doi.org/10.1016/j.neubiorev.2026.106628
